source,title,company,location,posted_at,description,url
prosple,UX/UI Design Internship Program,Readygrad,"Sydney, Brisbane, Adelaide, Melbourne, Perth",,,https://au.prosple.com/graduate-employers/readygrad/jobs-internships/uxui-design-internship-program
prosple,Application Security Engineer Graduate (Security Assurance),TikTok Australia,Sydney,,,https://au.prosple.com/graduate-employers/tiktok-australia-new-zealand/jobs-internships/application-security-engineer-graduate-security-assurance
prosple,Logistics Trainee/Graduate,Amazon Australia and New Zealand,Melbourne,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/logistics-traineegraduate-0
prosple,National Graduate Program - Service design stream,Services Australia,"ACT, NSW, WA, SA, VIC, QLD",,,https://au.prosple.com/graduate-employers/services-australia/jobs-internships/national-graduate-program-service-design-stream-1
prosple,Digital Stream Graduate Program,Australian Government Career Pathways,"ACT, NSW, Newcastle NSW, NT, SA, TAS, QLD, Townsville QLD, WA and VIC",,,https://au.prosple.com/graduate-employers/australian-government-career-pathways/jobs-internships/digital-stream-graduate-program-1
prosple,Project Grace: Technical Graduate Program,FDM Group Australia,"Sydney, Melbourne, Brisbane, Canberra",,,https://au.prosple.com/graduate-employers/fdm-group-australia/jobs-internships/project-grace-technical-graduate-program-1
prosple,IT and Computer Science Internships,The Intern Group,Australia,,,https://au.prosple.com/graduate-employers/the-intern-group/jobs-internships/it-and-computer-science-internships-0
prosple,Digital Graduate Program,Queensland Government Digital Graduate Program,Brisbane,,,https://au.prosple.com/graduate-employers/queensland-government-digital-graduate-program/jobs-internships/digital-graduate-program-3
prosple,Marketing and Communications Internship Program,CSIRO NSW Skills for Net Zero,Australia,,,https://au.prosple.com/graduate-employers/csiro-nsw-skills-for-net-zero/jobs-internships/marketing-and-communications-internship-program
prosple,Student Engineer,ResMed,Sydney,,,https://au.prosple.com/graduate-employers/resmed/jobs-internships/student-engineer-0
prosple,Project Grace (Technical Graduate Program),FDM Group New Zealand,"Sydney, Melbourne, Brisbane, Canberra ",,,https://au.prosple.com/graduate-employers/fdm-group-new-zealand/jobs-internships/project-grace-technical-graduate-program-0
prosple,IS&T Graduate,Bechtel Australia,Brisbane,,,https://au.prosple.com/graduate-employers/bechtel/jobs-internships/ist-graduate
